,BBL
0,-34
1,47
2,47
3,47
4,44
5,44
6,47
7,-34
8,47
9,-34
10,47
11,47
12,47
13,-34
14,44
15,47
16,-34
17,47
18,47
19,47
20,44
21,-34
22,47
23,47
24,47
25,47
26,-34
27,47
28,47
29,-34
30,47
31,47
32,47
33,47
34,-34
35,47
36,44
37,47
38,47
39,-34
40,47
41,47
42,47
43,-34
44,44
45,47
46,47
47,47
48,47
49,47
50,47
51,47
52,47
53,47
54,-34
55,47
56,47
57,-34
58,44
59,47
60,47
61,47
62,-34
63,47
64,47
65,47
66,47
67,47
68,-34
69,47
70,44
71,-34
72,47
73,47
74,47
75,47
76,47
77,47
78,47
79,47
80,47
81,47
82,47
83,47
84,-34
85,44
86,47
87,47
88,47
89,47
90,-34
91,47
92,47
93,47
94,-34
95,47
96,47
97,47
98,47
99,44
100,47
101,47
102,-34
103,47
104,47
105,-34
106,-34
107,47
108,47
109,47
110,47
111,-34
112,47
113,47
114,-34
115,47
116,47
117,47
118,44
119,47
120,-34
121,-34
122,47
123,47
124,47
125,47
126,47
127,47
128,47
129,47
130,47
131,44
132,44
133,44
134,47
135,47
136,-34
137,-34
138,-34
139,-34
140,47
141,47
142,47
143,47
144,-34
145,47
146,47
147,44
148,44
149,-34
150,47
151,47
152,-34
153,-34
154,47
155,47
156,47
157,-34
158,-34
159,47
160,44
161,47
162,47
163,47
164,47
165,-34
166,-34
167,47
168,47
169,-34
170,47
171,47
172,44
173,47
174,47
175,47
176,-34
177,-34
178,-34
179,47
180,47
181,47
182,47
183,47
184,-34
185,47
186,-34
187,44
188,44
189,-34
190,-34
191,-34
192,47
193,47
194,47
195,44
196,44
197,47
198,47
199,-34
200,47
201,-34
202,47
203,47
204,44
205,-34
206,44
207,-34
208,47
209,-34
210,47
211,47
212,47
213,47
214,47
215,-34
216,-34
217,47
218,47
219,47
220,47
221,47
222,-34
223,47
224,-34
225,47
226,47
227,47
228,44
229,-34
230,47
231,-34
232,47
233,44
234,47
235,47
236,-34
237,47
238,47
239,47
240,47
241,47
242,44
243,-34
244,47
245,47
246,47
247,-34
248,47
249,47
250,47
251,47
252,47
253,47
254,47
255,-34
256,47
257,-34
258,-34
259,47
260,47
261,47
262,47
263,47
264,-34
265,47
266,47
267,47
268,47
269,47
270,-34
271,47
272,47
273,-34
274,47
275,47
276,47
277,47
278,47
279,-34
280,47
281,47
282,47
283,47
284,47
285,47
286,47
287,47
288,47
289,-34
290,47
291,47
292,47
293,44
294,44
295,47
296,47
297,-34
298,47
299,47
300,44
301,47
302,47
303,-34
304,-34
305,47
306,-34
307,-34
308,47
309,47
310,47
311,-34
312,47
313,47
314,44
315,47
316,47
317,47
318,47
319,47
320,-34
321,-34
322,-34
323,-34
324,47
325,47
326,47
327,47
328,47
329,-34
330,44
331,-34
332,47
333,44
334,47
335,-34
336,-34
337,47
338,-34
339,47
340,-34
341,47
342,-34
343,-34
344,47
345,47
346,47
347,47
348,47
349,47
350,47
351,47
352,47
353,44
354,-34
355,47
356,47
357,44
358,47
359,47
360,44
361,47
362,47
363,47
364,44
365,47
366,44
367,44
368,47
369,-34
370,-34
371,47
372,47
373,44
374,47
375,-34
376,47
377,47
378,47
379,-34
380,47
381,-34
382,47
383,47
384,-34
385,47
386,-34
387,47
388,-34
389,47
390,47
391,44
392,47
393,47
394,47
395,-34
396,47
397,47
398,-34
399,47
400,44
401,47
402,44
403,44
404,-34
405,47
406,-34
407,47
408,47
409,47
410,44
411,47
412,47
413,47
414,44
415,44
416,47
417,47
418,47
419,-34
